School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
CEDAR VALLEY ELEMENTARY SCHOOL,"26500 TIMBERLANE WAY SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,282,93.3,2.8,0.7,1.4,0.4,0.4,1.1,1.1,1.4,1.1,1.4,1.8,"26500 TIMBERLANE WAY SE
KENT
(47.4671238, -122.128274)"
MCAULIFFE ELEMENTARY,"23823 NE 22ND, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,533,92.9,4.7,2.3,2.6,0,0,1.9,2.4,2.1,2.1,2.1,2.3,"23823 NE 22ND
SAMMAMISH
(47.6281416, -122.0208443)"
SPRING ACADEMY,"113045 8TH AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-12,7,85.7,14.3,0,14.3,0,0,14.3,14.3,14.3,14.3,14.3,14.3,"113045 8TH AVE NE
SEATTLE
(47.689308, -122.320301)"
SKYLINE HIGH SCHOOL,"1122 228TH AVE SE, SAMMAMISH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,9-12,2204,97.2,2.3,0.5,1.7,0.1,0,1.3,1.3,1,1,1.3,1.4,"1122 228TH AVE SE
SAMMAMISH
(47.6001135, -122.0323108)"
CASCADE VIEW ELEMENTARY,"13601 32ND AVENUE S, TUKWILA, WA",2016-17,TUKWILA SCHOOL DISTRICT,Y,PK-5,462,95.5,0.6,0.2,0.4,0,0,0.2,0.2,0.6,0.2,0,0.2,"13601 32ND AVENUE S
TUKWILA
(47.4813614, -122.2922429)"
RENTON SENIOR HIGH SCHOOL,"400 S 2ND ST, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,9-12,1331,88.7,1.7,0.5,1.1,0.2,0,1,0.6,0.4,0.8,1.1,0.6,"400 S 2ND ST
RENTON
(47.4824488, -122.2116641)"
FOSTER SENIOR HIGH SCHOOL,"4242 S 144TH ST, TUKWILA, WA",2016-17,TUKWILA SCHOOL DISTRICT,Y,9-12,895,94.7,2.1,0.9,1.2,0.1,0,1.2,0.9,0.9,0.6,1.3,0,"4242 S 144TH ST
TUKWILA
(47.4746698, -122.2801374)"
WESTSIDE SCHOOL,"7740 34TH AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-7,342,97.4,2.6,0,1.5,1.2,0,0,0.9,0.9,0,0.3,1.5,"7740 34TH AVE SW
SEATTLE
(47.5327938, -122.3747815)"
ZION PREPARATORY ACADEMY,"4730 32ND AVE S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,P-1,0,,,,,,,,,,,,,"4730 32ND AVE S
SEATTLE
(47.560085, -122.290572)"
SEQUOYAH MIDDLE SCHOOL,"3425 S 360TH ST, AUBURN, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-8,597,80.2,5.9,1.8,3.4,0.2,0.5,1,1,1.2,1,0.8,1.7,"3425 S 360TH ST
AUBURN
(47.277937, -122.288405)"
ST. PHILOMENA SCHOOL,"1815 S 220TH ST, DES MOINES, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,K-8,252,99.2,0.8,0,0.8,0,0,0,0.8,0.8,0.8,0.8,0.8,"1815 S 220TH ST
DES MOINES
(47.4042599, -122.3102628)"
SACRED HEART SCHOOL,"9450 NE 14TH ST, CLYDE HILL, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-8,370,97.8,2.2,0,2.2,0,0,1.1,1.1,1.4,1.4,2.2,1.4,"9450 NE 14TH ST
CLYDE HILL
(47.6237889, -122.2133774)"
GILDO REY ELEMENTARY SCHOOL,"1005 37TH ST SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,600,94.8,3.2,1.3,1.5,0.3,0,2.5,2.5,2.8,2.7,2.3,2.7,"1005 37TH ST SE
AUBURN
(47.278177, -122.215824)"
CHERRY CREST ELEMENTARY SCHOOL,"12400 NE 32ND STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,562,84.5,6.4,2,4.3,0.4,0,2.1,2.1,2.8,2.7,2.8,4.6,"12400 NE 32ND STREET
BELLEVUE
(47.6403138, -122.1736578)"
MCMURRAY MIDDLE SCHOOL,"9329 SW CEMETERY RD, VASHON, WA",2016-17,VASHON ISLAND SCHOOL DISTRICT,Y,6-8,402,72.4,19.9,0.7,18.9,0.7,0,9.2,7.5,9,10.4,16.4,15.2,"9329 SW CEMETERY RD
VASHON
(47.4283376, -122.4547029)"
STEVENS ELEMENTARY SCHOOL,"1242 18 AV E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,295,86.4,5.4,1.7,4.4,0,0,2,2,1.7,3.4,5.1,3.1,"1242 18 AV E
SEATTLE
(47.6315538, -122.3075876)"
SEATTLE PREP/MATTEO RICCI COLLEGE,"2400 11TH AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,9-12,0,,,,,,,,,,,,,"2400 11TH AVE E
SEATTLE
(47.6413055, -122.316799)"
ROXHILL ELEMENTARY SCHOOL,"9430 30 AV SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,307,84.7,1,1,1,0,0,0.7,0.7,0.3,0.3,0.7,2,"9430 30 AV SW
SEATTLE
(47.518267, -122.3709079)"
BELLEVUE CHRISTIAN SCHOOL,"1601 98TH AVE NE, CLYDE HILL, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,7-12,507,94.7,3.6,0.2,3.4,0,0,2.6,2.6,1.6,1.8,2,2.8,"1601 98TH AVE NE
CLYDE HILL
(47.625446, -122.210031)"
KENTWOOD HIGH SCHOOL,"25800 164TH AVE SE, COVINGTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,9-12,2081,90.1,3,0.5,2.3,0.4,0,1.6,1.3,1.5,1.2,1.3,1.8,"25800 164TH AVE SE
COVINGTON
(47.370635, -122.120278)"
AUBURN RIVERSIDE HIGH SCHOOL,"501 ORAVETZ RD SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,9-12,1647,89.3,3,0.8,1.9,0.2,0.1,1.8,1.3,1,1.2,1.2,2.2,"501 ORAVETZ RD SE
AUBURN
(47.267717, -122.2220755)"
HONEY DEW ELEMENTARY,"800 UNION AVE NE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -K,536,95.9,2.1,0.6,1.1,0.4,0,0.9,0.9,1.7,1.3,1.1,1.5,"800 UNION AVE NE
RENTON
(47.4965313, -122.163527)"
EASTLAKE HIGH SCHOOL,"400 228TH NE, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,1783,85.8,5.1,1,4.4,0.1,0,2.6,2.5,2,2.1,2.1,2.9,"400 228TH NE
SAMMAMISH
(47.613601, -122.0317461)"
VALLEY CHRISTIAN SCHOOL,"1312 2ND ST SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,P-8,68,95.6,4.4,0,4.4,0,0,2.9,2.9,4.4,2.9,2.9,4.4,"1312 2ND ST SE
AUBURN
(47.3060699, -122.2112773)"
MAPLE ELEMENTARY SCHOOL,"4925 CORSON AV S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,501,93.2,2.4,1.8,0.6,0,0,0.8,0.8,0.8,1.4,1,1.8,"4925 CORSON AV S
SEATTLE
(47.5580832, -122.3189031)"
MORNINGSIDE ACADEMY,"201 WESTLAKE AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,1-10,90,98.9,1.1,0,1.1,0,0,1.1,1.1,1.1,1.1,1.1,1.1,"201 WESTLAKE AVE N
SEATTLE
(47.6199629, -122.3388781)"
EVERGREEN LUTHERAN HIGH SCHOOL,"2021 S 260TH ST, DES MOINES, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,9-12,91,93.4,6.6,0,6.6,0,0,5.5,5.5,5.5,5.5,5.5,6.6,"2021 S 260TH ST
DES MOINES
(47.368471, -122.307592)"
BLACKWELL ELEMENTARY,"3225 - 205TH PL NE, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,541,91.7,2.8,0.7,2.2,0,0,1.7,1.8,2.2,2,0.9,2.4,"3225 - 205TH PL NE
SAMMAMISH
(47.6391356, -122.0670569)"
CHOICE,"32302 NE 50TH ST, CARNATION, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,7-10,10,80,20,0,20,0,0,20,20,20,20,20,0,"32302 NE 50TH ST
CARNATION
(47.6515142, -121.9072521)"
TILLICUM MIDDLE SCHOOL,"16020 SE 16TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-8,654,64.1,7.8,2.8,5.2,0.2,0,1.5,1.5,1.4,1.8,3.1,6.1,"16020 SE 16TH STREET
BELLEVUE
(47.5985543, -122.1250789)"
EMERALD PARK ELEMENTARY SCHOOL,"11800 SE 216TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,486,93,4.1,1.2,2.5,0.4,0,2.9,2.9,2.5,2.7,2.1,2.3,"11800 SE 216TH ST
KENT
(47.4097321, -122.1831469)"
DARTMOOR SCHOOL--SEATTLE,"9618 ROOSEVELT WAY NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,1-12,1,100,0,0,0,0,0,0,0,0,0,0,0,"9618 ROOSEVELT WAY NE
SEATTLE
(47.6988807, -122.3175857)"
NORTHSTAR MIDDLE SCHOOL,"11822 NE 75TH ST, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,6-8,89,86.5,4.5,0,4.5,0,0,2.2,2.2,4.5,3.4,4.5,3.4,"11822 NE 75TH ST
KIRKLAND
(47.673611, -122.180553)"
ASSUMPTION ST. BRIDGET,"6220 32ND AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-8,527,94.5,1.9,0.4,1.5,0,0,1.3,1.3,1.5,1.5,1.7,1.5,"6220 32ND AVE NE
SEATTLE
(47.6748938, -122.2927736)"
ALCOTT ELEMENTARY,"4213 - 228TH AVE NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,821,90.1,3.7,0.9,2.9,0.1,0,2.6,2.6,3.2,2.4,2.1,3.3,"4213 - 228TH AVE NE
REDMOND
(47.646161, -122.035699)"
CANYON CREEK ELEMENTARY,"21400 35 AV SE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,781,90.8,3.6,0.9,2.8,0,0,2,2,2.6,2.4,2.4,2.9,"21400 35 AV SE
BOTHELL
(47.8046207, -122.1868588)"
ST. EDWARDS SCHOOL,"4200 S MEAD ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,158,95.6,0,0,0,0,0,0,0,0,0,0,0,"4200 S MEAD ST
SEATTLE
(47.550814, -122.2804746)"
K-5 STEM AT BOREN,"5950 DELRIDGE WAY SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,473,76.5,6.8,2.7,4.9,0,0.2,3.4,3.4,3.6,5.1,5.3,6.1,"5950 DELRIDGE WAY SW
SEATTLE
(47.5486778, -122.3621965)"
CHRYSALIS SCHOOL (K-8),"17005 140TH AVE NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K-8,57,71.9,8.8,3.5,5.3,0,0,7,7,8.8,7,8.8,7,"17005 140TH AVE NE
WOODINVILLE
(47.751054, -122.153408)"
BOW LAKE ELEMENTARY,"18237 42ND AVE S, SEATAC, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,728,93.1,0.8,0.3,0.3,0.3,0,1.4,1.6,0.5,0.5,2.7,0,"18237 42ND AVE S
SEATAC
(47.4389839, -122.2822826)"
MERIDIAN ELEMENTARY SCHOOL,"25621 140TH AVE SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,648,91.5,1.7,0.5,1.2,0.2,0,1.4,1.4,1.4,1.4,0.5,1.7,"25621 140TH AVE SE
KENT
(47.3718518, -122.1556746)"
HAWTHORNE ELEMENTARY SCHOOL,"4100 39 AV S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,405,81,5.7,3,2.7,0.5,0,1,1,1.7,1.7,3,5.4,"4100 39 AV S
SEATTLE
(47.5656102, -122.2835196)"
HIGHLINE HIGH SCHOOL,"225 S 152ND ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,1281,70.7,4.9,4.1,0.9,0,0,0.7,0.7,0.6,0.6,1.2,4.4,"225 S 152ND ST
BURIEN
(47.46646, -122.3303896)"
OPEN WINDOW SCHOOL,"6128 168TH PLACE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K-8,320,97.8,2.2,0.3,1.9,0,0,1.3,1.3,1.6,1.3,1.3,2.2,"6128 168TH PLACE SE
BELLEVUE
(47.5477474, -122.1141144)"
SEATTLE COUNTRY DAY SCHOOL,"2619 4TH AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-8,362,96.4,3.6,0.3,3.3,0,0,1.9,1.9,1.9,2.2,3.3,2.2,"2619 4TH AVE N
SEATTLE
(47.6436165, -122.3502907)"
FRANTZ COE ELEMENTARY SCHOOL,"2424 7 AV W, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,558,89.1,5,3.8,2.2,0.2,0.2,1.6,1.6,3,2.5,2.5,4.5,"2424 7 AV W
SEATTLE
(47.640656, -122.365601)"
WEST SEATTLE HIGH SCHOOL,"3000 CALIFORNIA AV SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,1007,66.9,10.5,8.4,3.6,0,0,2.5,2.4,1.7,1.7,3.2,9.4,"3000 CALIFORNIA AV SW
SEATTLE
(47.5769174, -122.3845983)"
RENTON ACADEMY,"7100 116TH AVE SE, NEWCASTLE, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -12,45,82.2,6.7,0,6.7,2.2,0,4.4,4.4,2.2,2.2,2.2,4.4,"7100 116TH AVE SE
NEWCASTLE
(47.5382158, -122.1843318)"
ISLAND PARK ELEMENTARY,"5437 ISLAND CREST WAY, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,K -5,388,93.3,4.9,0.8,4.1,0,0,2.3,2.3,3.6,2.1,2.3,3.6,"5437 ISLAND CREST WAY
MERCER ISLAND
(47.5537285, -122.2224662)"
MIDWAY ELEMENTARY,"22447 24TH AVE S, DES MOINES, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,718,99.7,0.3,0.3,0,0.1,0,0.1,0.1,0.3,0.1,0.3,0.4,"22447 24TH AVE S
DES MOINES
(47.4012636, -122.3025088)"
WOODMONT ELEMENTARY SCHOOL,"26454 16TH AV S, DES MOINES, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,K -8,495,91.9,1.8,0.4,1.4,0,0,1.6,1.6,1.4,1.2,1.2,1.2,"26454 16TH AV S
DES MOINES
(47.363347, -122.311816)"
MADISON MIDDLE SCHOOL,"3429 45 AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,873,79,8.5,4.5,5.8,0.1,0,3.4,3.1,2.7,2.7,4.2,7.3,"3429 45 AVE SW
SEATTLE
(47.5725308, -122.3907689)"
SOUND PREPARATORY ACADEMY (FORMERLY XCEED PREPARATORY SCHOOL 2016),"30168 25TH AVE SW, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,N,6-12,0,,,,,,,,,,,,,"30168 25TH AVE SW
FEDERAL WAY
(47.331459, -122.3651)"
SILVER LAKE ELEMENTARY SCHOOL,"1310 SW 325TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,480,89.6,1.9,0.2,1,0.4,0,0.6,0.6,1.7,0,1.5,1.7,"1310 SW 325TH ST
FEDERAL WAY
(47.311118, -122.3629849)"
CASCADE INDEPENDENT HIGH SCHOOL,"1849 MARSHALL AVE, ENUMCLAW, WA",2016-17,ENUMCLAW SCHOOL DISTRICT,N,5-12,0,,,,,,,,,,,,,"1849 MARSHALL AVE
ENUMCLAW
(47.208277, -121.994657)"
GENESEE HILL ELEMENTARY,"5000 SW SPOKANE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,695,87.6,7.6,1.7,6.5,0.3,0.1,2.7,2.7,4.9,5.2,6,6.8,"5000 SW SPOKANE ST
SEATTLE
(47.572617, -122.396861)"
JOHN STANFORD INTERNATIONAL ELEMENTARY,"4057 5 AV NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,430,90.7,4.9,1.9,3.3,0.2,0,0.7,0.7,0.9,1.4,2.6,3.7,"4057 5 AV NE
SEATTLE
(47.6573087, -122.3237854)"
DOLAN ACADEMY & LEARNING CENTER,"18500 156TH AVE NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K-8,6,100,0,0,0,0,0,0,0,0,0,0,0,"18500 156TH AVE NE
WOODINVILLE
(47.763018, -122.131335)"
KENT PHOENIX ACADEMY,"11000 SE 264TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,9-12,284,87.3,3.9,1.4,2.5,0,0,1.8,1.4,1.4,1.1,2.1,1.8,"11000 SE 264TH ST
KENT
(47.3665648, -122.1937921)"
THE MADRONE SCHOOL,"15703 223RD AVE NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,N,3-6,0,,,,,,,,,,,,,"15703 223RD AVE NE
WOODINVILLE
(47.741406, -122.040333)"
PARADE,"32240 NE 50TH ST, CARNATION, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,PK-12,108,61.1,30.6,0,27.8,1.9,0.9,23.1,22.2,24.1,25,22.2,24.1,"32240 NE 50TH ST
CARNATION
(47.6515142, -121.9072521)"
LAKE DOLLOFF ELEMENTARY SCHOOL,"4200 S 308TH ST, AUBURN, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,472,83.1,2.3,0.2,1.3,0.8,0,1.9,1.9,2.3,1.7,1.3,2.3,"4200 S 308TH ST
AUBURN
(47.3279827, -122.2803384)"
OLYMPIC VIEW ELEMENTARY SCHOOL,"2626 SW 327TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,413,92.7,1.9,1.2,0.7,0,0,1,1,0.5,0.5,0.5,1.2,"2626 SW 327TH ST
FEDERAL WAY
(47.3088356, -122.3663801)"
NORTH HILL ELEMENTARY,"440 S 186TH STREET, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,K -6,602,97,3,0.8,2.2,0,0,2.2,2.2,2,2.2,2.2,2.5,"440 S 186TH STREET
BURIEN
(47.436928, -122.328056)"
BELLEVUE BIG PICTURE SCHOOL,"14844 SE 22ND STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-12,364,86.8,8.5,2.7,6.9,0,0,4.1,4.1,4.4,4.1,3.6,6,"14844 SE 22ND STREET
BELLEVUE
(47.591894, -122.141311)"
EINSTEIN ELEMENTARY,"18025 NE 116TH, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,424,95,3.5,0.9,2.8,0,0,2.1,2.4,2.6,2.8,1.7,2.1,"18025 NE 116TH
REDMOND
(47.7019652, -122.0984575)"
HORIZON SCHOOL,"1512 NW 195TH ST, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,N,P-1,0,,,,,,,,,,,,,"1512 NW 195TH ST
SHORELINE
(47.7709698, -122.377872)"
DICK SCOBEE ELEMENTARY SCHOOL,"1031 14TH ST NE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,518,91.9,5,1.4,3.5,0.2,0,3.3,3.5,3.5,3.3,2.7,4.1,"1031 14TH ST NE
AUBURN
(47.320943, -122.216331)"
BAILEY GATZERT ELEMENTARY SCHOOL,"1301 E YESLER WY, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,308,91.6,2.3,1.9,0.3,0.3,0,0.6,0.6,1,1.3,0,1.3,"1301 E YESLER WY
SEATTLE
(47.6018448, -122.315289)"
BISHOP BLANCHET HIGH SCHOOL,"8200 WALLINGFORD AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,888,95.9,1.8,0,1.8,0,0,0.9,0.9,1.1,1.2,0.9,1.4,"8200 WALLINGFORD AVE N
SEATTLE
(47.689804, -122.334776)"
SPECTRUM ACADEMY,"2576 152ND AVE NE, REDMOND, WA",2016-17,BELLEVUE SCHOOL DISTRICT,N,P-1,0,,,,,,,,,,,,,"2576 152ND AVE NE
REDMOND
(47.6328155, -122.1363629)"
EXPLORER COMMUNITY SCHOOL,"7040 208TH NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,1-5,73,97.3,2.7,0,2.7,0,0,1.4,1.4,1.4,1.4,1.4,2.7,"7040 208TH NE
REDMOND
(47.6675209, -122.0609559)"
EVERGREEN ACADEMY,"16017 118TH PL NE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K-6,138,93.5,4.3,0.7,3.6,0,0,3.6,3.6,4.3,2.2,2.2,4.3,"16017 118TH PL NE
BOTHELL
(47.7443043, -122.1825172)"
ARDMORE ELEMENTARY SCHOOL,"16616 NE 32ND ST, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,441,91.8,4.3,2,2.7,0.2,0,2.3,2.3,2.3,2,2.3,3.9,"16616 NE 32ND ST
BELLEVUE
(47.6395383, -122.117528)"
NORTHWEST SCHOOL,"1415 SUMMIT AVE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-12,509,91.2,5.1,1.4,3.7,0,0,1.8,1.8,2,2.6,3.1,1,"1415 SUMMIT AVE
SEATTLE
(47.6134199, -122.3256699)"
ISLANDER MIDDLE SCHOOL,"8225 SE 72ND, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,6-8,1130,94.2,3.2,0.7,2.3,0.1,0.1,1.6,1.3,1.9,1.7,2.1,1.5,"8225 SE 72ND
MERCER ISLAND
(47.5369727, -122.228488)"
MEEKER MIDDLE SCHOOL,"12600 SE 192ND ST, RENTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,7-8,608,93.4,3.3,0.7,2.3,0.5,0,1.8,1.6,0.8,0.8,1.3,1.6,"12600 SE 192ND ST
RENTON
(47.4315879, -122.1727377)"
TAHOMA JR HIGH,"25600 SE SUMMIT LANDSBURG ROAD, RAVENSDALE, WA",2016-17,TAHOMA SCHOOL DISTRICT,Y,8-9,1342,93.1,4.1,0.7,3.4,0.1,0.1,2.5,2.5,2.2,2.2,1.9,3.1,"25600 SE SUMMIT LANDSBURG ROAD
RAVENSDALE
(47.3729086, -122.0002219)"
ST. BERNADETTE SCHOOL,"1028 SW 128TH ST, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,P-8,197,99.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,"1028 SW 128TH ST
SEATTLE
(47.4888616, -122.3484808)"
KILO MIDDLE SCHOOL,"4400 S 308TH ST, AUBURN, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-8,564,87.8,4.1,0.5,2.8,0.7,0,3.2,3.2,2.1,2.7,2,2.5,"4400 S 308TH ST
AUBURN
(47.3268566, -122.2781235)"
FROST ELEMENTARY,"11801 NE 140TH, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,439,93.8,4.8,1.6,3,0.2,0,3,3.4,2.3,2.7,3.6,2.7,"11801 NE 140TH
KIRKLAND
(47.72612, -122.181935)"
LAKELAND HILLS ELEMENTARY,"1020 EVERGREEN WAY SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,K -5,721,93.2,5.3,0.6,4.4,0.4,0,3.9,3.9,4,3.9,3.7,4.3,"1020 EVERGREEN WAY SE
AUBURN
(47.254282, -122.215863)"
HAZEN SENIOR HIGH SCHOOL,"1101 HOQUIAM AVE NE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,9-12,1631,92.5,2.4,0.7,1.6,0.1,0,1.3,1,1.5,1.2,1.1,1,"1101 HOQUIAM AVE NE
RENTON
(47.5015998, -122.152788)"
HIGHLAND MIDDLE SCHOOL,"15027 NE BEL-RED ROAD, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-8,502,80.1,8,1.6,6.8,0,0,3.6,3.6,3,2.4,3,6,"15027 NE BEL-RED ROAD
BELLEVUE
(47.6265678, -122.1401995)"
ADAMS ELEMENTARY SCHOOL,"6110 28 AV NW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,581,86.1,7.2,2.6,5.3,0,0,2.8,2.8,3.1,4.8,5.3,5,"6110 28 AV NW
SEATTLE
(47.6735299, -122.3910337)"
KELLOGG MIDDLE SCHOOL,"16045 25TH AVENUE NE, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,7-8,687,91.4,7.1,0.3,6.7,0.1,0,2.5,2,2,2,2.6,4.7,"16045 25TH AVENUE NE
SHORELINE
(47.746226, -122.3031091)"
CONCORDIA LUTHERAN SCHOOL,"7040 36TH AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,38,92.1,0,0,0,0,0,0,0,0,0,0,0,"7040 36TH AVE NE
SEATTLE
(47.6809232, -122.288961)"
DANIEL BAGLEY ELEMENTARY SCHOOL,"7821 STONE AV N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,424,85.8,9.2,3.3,6.8,0.5,0,5,5,5,6.1,7.8,7.8,"7821 STONE AV N
SEATTLE
(47.6864187, -122.342337)"
LIVING WISDOM SCHOOL OF SEATTLE,"6717 212TH ST SW, LYNWOOD, WA",2016-17,EDMONDS SCHOOL DISTRICT,Y,P-6,24,50,50,0,50,0,0,33.3,33.3,29.2,41.7,33.3,45.8,"6717 212TH ST SW
LYNWOOD
(47.807206, -122.32403)"
SEATTLE AMISTAD SCHOOL,"2410 E CHERRY, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-1,63,58.7,4.8,0,4.8,4.8,3.2,4.8,4.8,4.8,4.8,4.8,4.8,"2410 E CHERRY
SEATTLE
(47.608511, -122.300819)"
INTERAGENCY PROGRAMS,"PO BOX 34165, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-12,415,54.2,6.5,5.1,2.4,0.2,0,1.4,1.4,1.4,1.4,1.2,6.5,"PO BOX 34165
SEATTLE
(47.6062095, -122.3320708)"
